"空间键","空间名称","页面ID","父页面ID","父页面标题","标题","层级深度","同级序号","目录路径","主题推断","最后修改时间","最后修改人","子页面是否截断","链接"
"ZYTSKC","专业提升课程","54103919","","","专业提升课程","0","1","专业提升课程","培训与知识","2019-05-09 09:45:08","冯美美","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=54103919"
"ZYTSKC","专业提升课程","56232896","54103919","专业提升课程","1 技术管理部","1","1","专业提升课程 / 1 技术管理部","培训与知识","2019-05-29 17:03:25","王艳","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=56232896"
"ZYTSKC","专业提升课程","56232898","54103919","专业提升课程","2 软件研发部","1","2","专业提升课程 / 2 软件研发部","培训与知识","2019-05-29 17:03:44","王艳","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=56232898"
"ZYTSKC","专业提升课程","57442707","56232898","2 软件研发部","1 驱动软件所","2","1","专业提升课程 / 2 软件研发部 / 1 驱动软件所","培训与知识","2019-06-10 14:08:23","王永清","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=57442707"
"ZYTSKC","专业提升课程","70157796","56232898","2 软件研发部","2 手机整机软件所","2","2","专业提升课程 / 2 软件研发部 / 2 手机整机软件所","培训与知识","2019-10-28 17:38:37","未知用户 (liukun15)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=70157796"
"ZYTSKC","专业提升课程","70159206","56232898","2 软件研发部","3 多媒体软件所","2","3","专业提升课程 / 2 软件研发部 / 3 多媒体软件所","培训与知识","2019-10-29 16:42:11","张敬坤","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=70159206"
"ZYTSKC","专业提升课程","105582122","56232898","2 软件研发部","4 手机产品软件所","2","4","专业提升课程 / 2 软件研发部 / 4 手机产品软件所","培训与知识","2020-11-04 09:54:15","未知用户 (xiaoqian)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=105582122"
"ZYTSKC","专业提升课程","56232900","54103919","专业提升课程","3 硬件研发部","1","3","专业提升课程 / 3 硬件研发部","培训与知识","2019-05-29 17:04:03","王艳","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=56232900"
"ZYTSKC","专业提升课程","71402663","56232900","3 硬件研发部","基带","2","1","专业提升课程 / 3 硬件研发部 / 基带","培训与知识","2019-11-11 14:39:35","未知用户 (zhanglili3)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=71402663"
"ZYTSKC","专业提升课程","69506961","56232900","3 硬件研发部","石墨及石墨烯高导膜特性及其应用简介","2","2","专业提升课程 / 3 硬件研发部 / 石墨及石墨烯高导膜特性及其应用简介","培训与知识","2019-10-25 09:29:49","未知用户 (xulianhu)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=69506961"
"ZYTSKC","专业提升课程","56232902","54103919","专业提升课程","4 结构设计部","1","4","专业提升课程 / 4 结构设计部","设计与架构","2019-05-29 17:04:21","王艳","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=56232902"
"ZYTSKC","专业提升课程","56232905","54103919","专业提升课程","5 研发测试部","1","5","专业提升课程 / 5 研发测试部","测试与验证","2019-05-29 17:04:46","王艳","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=56232905"
"ZYTSKC","专业提升课程","61377532","56232905","5 研发测试部","手机硬件测试室","2","1","专业提升课程 / 5 研发测试部 / 手机硬件测试室","测试与验证","2019-07-24 14:44:37","未知用户 (sunyongping)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=61377532"
"ZYTSKC","专业提升课程","56232907","54103919","专业提升课程","6 显示研发部","1","6","专业提升课程 / 6 显示研发部","培训与知识","2020-07-16 14:07:53","李雪峰","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=56232907"
"ZYTSKC","专业提升课程","84645787","56232907","6 显示研发部","如何使用胶水和胶带-王灿","2","1","专业提升课程 / 6 显示研发部 / 如何使用胶水和胶带-王灿","培训与知识","2020-04-01 15:08:06","未知用户 (weichangchun)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=84645787"
"ZYTSKC","专业提升课程","84645776","56232907","6 显示研发部","如何选择常见粘接产品-王灿","2","2","专业提升课程 / 6 显示研发部 / 如何选择常见粘接产品-王灿","培训与知识","2020-04-01 15:07:25","未知用户 (weichangchun)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=84645776"
"ZYTSKC","专业提升课程","82581295","56232907","6 显示研发部","模组光学设计开发指导_张钦泉","2","3","专业提升课程 / 6 显示研发部 / 模组光学设计开发指导_张钦泉","设计与架构","2020-03-12 09:47:26","未知用户 (zhangqinquan)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=82581295"
"ZYTSKC","专业提升课程","84645791","56232907","6 显示研发部","胶黏原理及失效分析-王灿","2","4","专业提升课程 / 6 显示研发部 / 胶黏原理及失效分析-王灿","问题与复盘","2020-04-01 15:08:46","未知用户 (weichangchun)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=84645791"
"ZYTSKC","专业提升课程","89002576","56232907","6 显示研发部","质量问题解决思路指导-张钦泉","2","5","专业提升课程 / 6 显示研发部 / 质量问题解决思路指导-张钦泉","问题与复盘","2020-05-21 09:01:12","未知用户 (zhangqinquan)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=89002576"
"ZYTSKC","专业提升课程","56232909","54103919","专业提升课程","7 工艺设计部","1","7","专业提升课程 / 7 工艺设计部","设计与架构","2019-05-29 17:05:22","王艳","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=56232909"
"ZYTSKC","专业提升课程","56232914","54103919","专业提升课程","8 深圳研发中心","1","8","专业提升课程 / 8 深圳研发中心","培训与知识","2019-05-29 17:05:56","王艳","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=56232914"
"ZYTSKC","专业提升课程","56232916","54103919","专业提升课程","9 武汉研发中心","1","9","专业提升课程 / 9 武汉研发中心","培训与知识","2019-05-29 17:06:14","王艳","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=56232916"
"ZYTSKC","专业提升课程","73897921","54103919","专业提升课程","文件列表","1","10","专业提升课程 / 文件列表","培训与知识","2019-12-05 16:25:02","杜强","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=73897921"
"ZYTSKC","专业提升课程","73897922","73897921","文件列表","培训","2","1","专业提升课程 / 文件列表 / 培训","培训与知识","2019-12-05 16:25:02","杜强","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=73897922"
"ZYTSKC","专业提升课程","142584363","54103919","专业提升课程","焊接培训","1","11","专业提升课程 / 焊接培训","培训与知识","2021-11-04 20:00:28","未知用户 (suzhibo)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=142584363"
"ZYTSKC","专业提升课程","54103920","54103919","专业提升课程","立刻开始","1","12","专业提升课程 / 立刻开始","培训与知识","2019-05-09 09:38:32","冯美美","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=54103920"
"ZYTSKC","专业提升课程","54103921","54103920","立刻开始","制作一个模板","2","1","专业提升课程 / 立刻开始 / 制作一个模板","规范与流程","2019-05-09 09:38:32","冯美美","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=54103921"
