"空间键","空间名称","页面ID","父页面ID","父页面标题","标题","层级深度","同级序号","目录路径","主题推断","最后修改时间","最后修改人","子页面是否截断","链接"
"DSODMCPKFZL","电视ODM产品开发资料","33067160","","","电视ODM产品开发资料 主页","0","1","电视ODM产品开发资料 主页","其他","2018-10-11 13:26:21","郑砚杰","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=33067160"
"DSODMCPKFZL","电视ODM产品开发资料","30507921","33067160","电视ODM产品开发资料 主页","BBY产品开发","1","1","电视ODM产品开发资料 主页 / BBY产品开发","其他","2018-08-28 09:44:39","郑砚杰","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=30507921"
"DSODMCPKFZL","电视ODM产品开发资料","30508646","30507921","BBY产品开发","BBY交付物模板","2","1","电视ODM产品开发资料 主页 / BBY产品开发 / BBY交付物模板","规范与流程","2019-02-13 09:21:56","郑砚杰","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=30508646"
"DSODMCPKFZL","电视ODM产品开发资料","30508555","30507921","BBY产品开发","BBY开发流程和工具","2","2","电视ODM产品开发资料 主页 / BBY产品开发 / BBY开发流程和工具","规范与流程","2019-04-10 17:31:34","杨勇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=30508555"
"DSODMCPKFZL","电视ODM产品开发资料","30508151","30507921","BBY产品开发","BBY开发规范","2","3","电视ODM产品开发资料 主页 / BBY产品开发 / BBY开发规范","规范与流程","2019-08-02 13:57:55","杨勇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=30508151"
"DSODMCPKFZL","电视ODM产品开发资料","30508232","30507921","BBY产品开发","BBY项目开发","2","4","电视ODM产品开发资料 主页 / BBY产品开发 / BBY项目开发","项目管理","2018-08-28 13:58:20","郑砚杰","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=30508232"
"DSODMCPKFZL","电视ODM产品开发资料","36867192","33067160","电视ODM产品开发资料 主页","Roku产品开发资料","1","2","电视ODM产品开发资料 主页 / Roku产品开发资料","其他","2018-11-07 17:32:03","郑砚杰","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=36867192"
"DSODMCPKFZL","电视ODM产品开发资料","36867195","36867192","Roku产品开发资料","Project ID信息","2","1","电视ODM产品开发资料 主页 / Roku产品开发资料 / Project ID信息","项目管理","2018-11-07 17:39:06","郑砚杰","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=36867195"
"DSODMCPKFZL","电视ODM产品开发资料","37524000","36867192","Roku产品开发资料","ROKU项目各种系统账号以及密码","2","2","电视ODM产品开发资料 主页 / Roku产品开发资料 / ROKU项目各种系统账号以及密码","项目管理","2018-11-20 13:14:31","刘芹","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=37524000"
"DSODMCPKFZL","电视ODM产品开发资料","37523548","36867192","Roku产品开发资料","ROKU项目软件信息整理","2","3","电视ODM产品开发资料 主页 / Roku产品开发资料 / ROKU项目软件信息整理","项目管理","2018-11-19 19:39:23","刘芹","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=37523548"
"DSODMCPKFZL","电视ODM产品开发资料","73335142","33067160","电视ODM产品开发资料 主页","文件列表","1","3","电视ODM产品开发资料 主页 / 文件列表","其他","2019-11-27 09:19:13","未知用户 (wanghongyuan)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=73335142"
"DSODMCPKFZL","电视ODM产品开发资料","73335143","73335142","文件列表","海信音响产品介绍","2","1","电视ODM产品开发资料 主页 / 文件列表 / 海信音响产品介绍","其他","2019-11-27 09:19:13","未知用户 (wanghongyuan)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=73335143"
