"Project","ProjectName","Category","RecentIssueCount","SampleIssues"
"LANGOTEST","langoTest","测试质量和自动化","104","LANGOTEST-7:TEST SW 2 | LANGOTEST-8:TEST SW 3 | LANGOTEST-9:TEST SW 4 | LANGOTEST-13:TEST SW 6 | LANGOTEST-10:TEST SW 5 | LANGOTEST-14:TEST SW 7 | LANGOTEST-15:TEST SW 8 | LANGOTEST-16:TEST SW 9"
"MARPROJECT","MARS_Project","产品项目","85","MARPROJECT-34973:克罗地亚和挪威的language code  AirPlay 不认识 | MARPROJECT-36491:Insert the USBCAM card, turn DC OFF/ON, AV is not in sync | MARPROJECT-35998:[MT9618LaserEU][Vidaa voice] Say 'turn on the subtitle function' will open the Laser setting. | MARPROJECT-36493:AI Button静态资压缩替换 | MARPROJECT-36401:Local requirement文档改动8，CEC CEC默认开关置为off | MARPROJECT-35052:【MT9618EU_U9.6】【压测】DTV+OTT频道4S间隔切台压测，压测一晚，出现browser_backend@browser的coredump | MARPROJECT-24799:【MT9603EUEM OTA_U9.6】【CP】S4C中账号下从未播放过的有广告的视频，广告播完之后报错，不起播。 | MARPROJECT-36494:【9655 AM】【U9.6】【酒店】on Source设置为save，从TV通道进入home，第二次Power键开关机进入Live TV，而不是home"
"TVAPPS","智能电视独立应用","应用和多媒体","65","TVAPPS-57140:AZ3SAF2a0408eRGnfTh7 | TVAPPS-57139:AZ3SAF1_0408eRGnfTgR | TVAPPS-57138:AZ3SAF180408eRGnfTgM | TVAPPS-57137:AZ3SAF5B0408eRGnfTn- | TVAPPS-57136:AZ3SAF5G0408eRGnfToJ | TVAPPS-57135:AZ3SAF5G0408eRGnfToI | TVAPPS-57134:AZ3SAF5G0408eRGnfToH | TVAPPS-57133:AZ3SAF5G0408eRGnfToK"
"MT9655","MT9655","MT9655平台","60","MT9655-91158:【工艺】vcom曲线确认 | MT9655-91191:【menutree】整机不支持Le audio，有蓝牙环绕声选项 | MT9655-91205:【主页】环影超清下有两个全部内容TAB，点开内容也一样 | MT9655-90892:HDMI播放Dolby 必现颜色异常 | MT9655-91164:116UXS系统信息更新 | MT9655-90293:DMP 哈利波特进度条右侧偏红  | MT9655-90254:工艺性试制及验证阶段-OQC-无说明书- | MT9655-90904:【开关机】已拷贝广告，STR开机，概率性出现不显示开机logo，直接显示广告视频"
"VIDAADEV","VIDAADEV","系统和OS平台","54","VIDAADEV-35038:子任务 | VIDAADEV-34375:UI代码重复文件清理 - 其它 | VIDAADEV-35041:子任务 | VIDAADEV-35040:子任务 | VIDAADEV-35039:子任务 | VIDAADEV-35037:子任务 | VIDAADEV-35036:子任务 | VIDAADEV-35035:子任务"
"MT9655LASER","MT9655-LASER","MT9655平台","52","MT9655LASER-14623:Pending问题解决审核 | MT9655LASER-14619:投影距离幕布5米左右，提示幕布有遮挡失败，但是幕布前没有遮挡，零位和非零位都失败 | MT9655LASER-14016:【全场景麦克风】K歌下调整麦克风音量至100，麦克风声音几乎不出声 | MT9655LASER-13917:【灯效】开机灯效设置为关，STR开机后，白灯一直闪烁 | MT9655LASER-14507:【聚好看】浅色主题下无法进入星聚桌面 | MT9655LASER-13710:HDMI ""Montage_M""足球破碎 | MT9655LASER-14614:Fixed问题解决审核 | MT9655LASER-14207:VL7S-ULTRAMAX(01)-IR-78台，4台白场画面右下角发绿，不良率3.85%"
"AT966D5","AmlogicT966D5_AOSP","Amlogic和Android平台","47","AT966D5-10724:4/4 [TV-211571]【SZLIT】【媒体中心】播放超4K2K片源，播放出现晃动和闪烁 | AT966D5-15906:Defer问题解决审核 | AT966D5-15526:【声音】接芝杜播放器，播放附件中片源后按键音无声 | AT966D5-15905:050701 | AT966D5-13538:[TV-215212]【安全启动导致】【设计性试制】主板不开机 | AT966D5-15235:[TV-218427]【开关机】远场语音开机慢 | AT966D5-15194:【聚好看首页】从电影tab下翻，点击“影视VIP疯狂让利”，进入详情页时会抖几下 | AT966D5-15904:Pending问题解决审核"
"MT9653","MT9653","MTK平台其他","45","MT9653-125428:系统中间件的点检项 | MT9653-126463:【100XP3E-PRO】【无线传屏】手机端反向传屏显示黑屏画面，且会导致整机无线传屏崩溃闪退 | MT9653-126439:【新增需求】去掉防串货---主要是去掉上报功能 | MT9653-123110:【图像】HDMI通道接Xbox4K60hz，调整画面大小和位置，切换到直播电视，转场闪花屏 | MT9653-126464:【100XP3E-PRO】【主题和个性化】设置U盘图片为壁纸，返回主页后显示的壁纸错误 | MT9653-124279:屏 灰场 mura | MT9653-126007:优酷帧享认证-平台适配，支持校准模式 | MT9653-126211:75Z570QF-R（01） ISP扩频及TCON文件修改(临时版本）"
"MT9655AMGTV","MT9655_AM_GTV","MT9655平台","43","MT9655AMGTV-48788:【图像】HDMI输入120Hz SDR信号时，HDR Enhancer菜单隐藏 | MT9655AMGTV-48789:Cannot Reproduce问题解决审核 | MT9655AMGTV-48388:【Netflix 1st run Pre-test】【EP】AUDIO-MEDIAVOL-LPCM51CH-*起播和结尾glitch | MT9655AMGTV-48787:HDMI&DMP 4K秘鲁风光高频闪，vivid下 UX演示片源1min20s高频闪；vivid NET 卧虎藏龙 33min39s背景噪声大 | MT9655AMGTV-48763:【miracast】投屏断连后闪屏 | MT9655AMGTV-48786:HDMI 光感开 600-25lux环境光 亮度不变化，光感色温在600lux下偏暖 | MT9655AMGTV-48785:HDMI 【RGBB专项】vivid 封神大雪场景偏绿； | MT9655AMGTV-46477:[量产问题]Launcher同时存在Hisense Channel 和Vidaa channel，需要去查Vidaa channel"
"MT9653LASER","MT9653-LASER","MTK平台其他","36","MT9653LASER-25385:2026-5-6【工艺性试制】老化第18T  25#  39# 开机后自动关机 | MT9653LASER-25418:VL3S-ULTRA增加I2C异常通知信号 | MT9653LASER-24408:【星聚桌面】星聚桌面添加卡片，推荐那一行已经添加了该卡片，下面同一卡片没有更新状态 | MT9653LASER-24881:Defer问题解决审核 | MT9653LASER-25456:添加配置几何校正范围限制文件 | MT9653LASER-25457:属性配置 | MT9653LASER-25455:相关接口提供 | MT9653LASER-25454:[闭环任务]变更开发任务实现（分配给相应开发人员）"
