"空间键","空间名称","页面ID","父页面ID","父页面标题","标题","层级深度","同级序号","目录路径","主题推断","最后修改时间","最后修改人","子页面是否截断","链接"
"DZKJDSHWKF","产品线运营中心深圳研发部","13716871","","","产品线深圳研发中心电视开发所 主页","0","1","产品线深圳研发中心电视开发所 主页","其他","2025-09-29 17:37:29","吴利华(William Wu)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=13716871"
"DZKJDSHWKF","产品线运营中心深圳研发部","13716874","13716871","产品线深圳研发中心电视开发所 主页","深圳研发部运作支持 主页","1","1","产品线深圳研发中心电视开发所 主页 / 深圳研发部运作支持 主页","其他","2021-09-26 15:26:08","吴利华(William Wu)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=13716874"
"DZKJDSHWKF","产品线运营中心深圳研发部","13718317","13716874","深圳研发部运作支持 主页","01-周报管理","2","1","产品线深圳研发中心电视开发所 主页 / 深圳研发部运作支持 主页 / 01-周报管理","项目管理","2019-03-18 11:18:45","吴利华(William Wu)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=13718317"
"DZKJDSHWKF","产品线运营中心深圳研发部","14534163","13716874","深圳研发部运作支持 主页","02-月报管理","2","2","产品线深圳研发中心电视开发所 主页 / 深圳研发部运作支持 主页 / 02-月报管理","项目管理","2019-10-15 10:02:53","吴利华(William Wu)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=14534163"
"DZKJDSHWKF","产品线运营中心深圳研发部","16865966","13716874","深圳研发部运作支持 主页","03-指标管理","2","3","产品线深圳研发中心电视开发所 主页 / 深圳研发部运作支持 主页 / 03-指标管理","项目管理","2019-03-18 11:18:08","吴利华(William Wu)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=16865966"
"DZKJDSHWKF","产品线运营中心深圳研发部","68848287","13716874","深圳研发部运作支持 主页","04-项目过程管理","2","4","产品线深圳研发中心电视开发所 主页 / 深圳研发部运作支持 主页 / 04-项目过程管理","项目管理","2021-09-28 09:57:21","吴利华(William Wu)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=68848287"
"DZKJDSHWKF","产品线运营中心深圳研发部","13718297","13716874","深圳研发部运作支持 主页","05-订单推进管理","2","5","产品线深圳研发中心电视开发所 主页 / 深圳研发部运作支持 主页 / 05-订单推进管理","项目管理","2021-09-28 11:11:30","吴利华(William Wu)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=13718297"
"DZKJDSHWKF","产品线运营中心深圳研发部","14537293","13716874","深圳研发部运作支持 主页","06-质量管理","2","6","产品线深圳研发中心电视开发所 主页 / 深圳研发部运作支持 主页 / 06-质量管理","项目管理","2021-09-28 11:12:09","吴利华(William Wu)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=14537293"
"DZKJDSHWKF","产品线运营中心深圳研发部","29853258","13716874","深圳研发部运作支持 主页","07-成本管理","2","7","产品线深圳研发中心电视开发所 主页 / 深圳研发部运作支持 主页 / 07-成本管理","项目管理","2021-09-28 11:12:24","吴利华(William Wu)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=29853258"
"DZKJDSHWKF","产品线运营中心深圳研发部","139073763","13716874","深圳研发部运作支持 主页","08-流程管理","2","8","产品线深圳研发中心电视开发所 主页 / 深圳研发部运作支持 主页 / 08-流程管理","规范与流程","2021-09-28 11:12:41","吴利华(William Wu)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=139073763"
