"空间键","空间名称","页面ID","父页面ID","父页面标题","标题","层级深度","同级序号","目录路径","主题推断","最后修改时间","最后修改人","子页面是否截断","链接"
"VIDAA","VIDAA","66391221","","","VIDAA Main page","0","1","VIDAA Main page","其他","2025-06-25 21:21:06","Talha Sentürk","否","http://dmtks.hisense.com/display/VIDAA/VIDAA+Main+page"
"VIDAA","VIDAA","66391561","66391221","VIDAA Main page","Partner Engagement Management (PEM)","1","1","VIDAA Main page / Partner Engagement Management (PEM)","其他","2025-05-02 21:54:29","张余庆/Louis Zhang","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=66391561"
"VIDAA","VIDAA","157204346","66391561","Partner Engagement Management (PEM)","APEM framework","2","1","VIDAA Main page / Partner Engagement Management (PEM) / APEM framework","其他","2022-03-18 20:17:38","未知用户 (jochen.fiedler)","否","http://dmtks.hisense.com/display/VIDAA/APEM+framework"
"VIDAA","VIDAA","66391626","66391561","Partner Engagement Management (PEM)","BD PEM KITS","2","2","VIDAA Main page / Partner Engagement Management (PEM) / BD PEM KITS","其他","2022-03-24 03:32:53","未知用户 (justin.hansford)","否","http://dmtks.hisense.com/display/VIDAA/BD+PEM+KITS"
"VIDAA","VIDAA","232612916","66391561","Partner Engagement Management (PEM)","Copy of BD PEM KITS","2","3","VIDAA Main page / Partner Engagement Management (PEM) / Copy of BD PEM KITS","其他","2024-04-12 02:09:42","未知用户 (jeremy.jones)","否","http://dmtks.hisense.com/display/VIDAA/Copy+of+BD+PEM+KITS"
"VIDAA","VIDAA","70161117","66391561","Partner Engagement Management (PEM)","CSP Test Account Portal","2","4","VIDAA Main page / Partner Engagement Management (PEM) / CSP Test Account Portal","测试与验证","2024-04-16 04:33:51","张余庆/Louis Zhang","否","http://dmtks.hisense.com/display/VIDAA/CSP+Test+Account+Portal"
"VIDAA","VIDAA","99328082","66391561","Partner Engagement Management (PEM)","Hisense TV Models","2","5","VIDAA Main page / Partner Engagement Management (PEM) / Hisense TV Models","其他","2021-09-24 01:42:46","未知用户 (jeremy.jones)","否","http://dmtks.hisense.com/display/VIDAA/Hisense+TV+Models"
"VIDAA","VIDAA","85369004","66391561","Partner Engagement Management (PEM)","Images and Assets","2","6","VIDAA Main page / Partner Engagement Management (PEM) / Images and Assets","其他","2021-01-04 20:36:06","未知用户 (jernej.smisl)","否","http://dmtks.hisense.com/display/VIDAA/Images+and+Assets"
"VIDAA","VIDAA","81898975","66391561","Partner Engagement Management (PEM)","Integration Types and Procedures","2","7","VIDAA Main page / Partner Engagement Management (PEM) / Integration Types and Procedures","设计与架构","2022-05-02 23:12:56","未知用户 (jeremy.jones)","否","http://dmtks.hisense.com/display/VIDAA/Integration+Types+and+Procedures"
"VIDAA","VIDAA","79794700","66391561","Partner Engagement Management (PEM)","Legal Paperwork and Processes","2","8","VIDAA Main page / Partner Engagement Management (PEM) / Legal Paperwork and Processes","其他","2021-02-04 04:43:52","未知用户 (jeremy.jones)","否","http://dmtks.hisense.com/display/VIDAA/Legal+Paperwork+and+Processes"
