"空间键","空间名称","页面ID","父页面ID","父页面标题","标题","层级深度","同级序号","目录路径","主题推断","最后修改时间","最后修改人","子页面是否截断","链接"
"YFZXJSSL","视像科技研发中心技术沙龙","146968877","","","视像科技研发中心技术沙龙 主页","0","1","视像科技研发中心技术沙龙 主页","其他","2024-05-21 14:17:56","曹金龙","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=146968877"
"YFZXJSSL","视像科技研发中心技术沙龙","16845958","146968877","视像科技研发中心技术沙龙 主页","2018年","1","1","视像科技研发中心技术沙龙 主页 / 2018年","其他","2018-01-03 14:08:00","未知用户 (sunliping1)","是","http://dmtks.hisense.com/pages/viewpage.action?pageId=16845958"
"YFZXJSSL","视像科技研发中心技术沙龙","17174077","16845958","2018年","第10期 智能包装产业趋势及应用展望","2","1","视像科技研发中心技术沙龙 主页 / 2018年 / 第10期 智能包装产业趋势及应用展望","其他","2018-03-27 10:41:55","未知用户 (sunliping1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=17174077"
"YFZXJSSL","视像科技研发中心技术沙龙","17174686","16845958","2018年","第11期 指纹识别技术研究","2","2","视像科技研发中心技术沙龙 主页 / 2018年 / 第11期 指纹识别技术研究","其他","2018-03-28 09:22:43","未知用户 (sunliping1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=17174686"
"YFZXJSSL","视像科技研发中心技术沙龙","17175823","16845958","2018年","第12期 双摄算法技术原理及效果测评","2","3","视像科技研发中心技术沙龙 主页 / 2018年 / 第12期 双摄算法技术原理及效果测评","其他","2018-03-29 14:05:30","未知用户 (sunliping1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=17175823"
"YFZXJSSL","视像科技研发中心技术沙龙","17176838","16845958","2018年","第13期 集成电路ESD失效、测试评估","2","4","视像科技研发中心技术沙龙 主页 / 2018年 / 第13期 集成电路ESD失效、测试评估","设计与架构","2018-03-30 14:24:34","未知用户 (sunliping1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=17176838"
"YFZXJSSL","视像科技研发中心技术沙龙","17796075","16845958","2018年","第14期 FPGA的PCB设计交流","2","5","视像科技研发中心技术沙龙 主页 / 2018年 / 第14期 FPGA的PCB设计交流","设计与架构","2018-04-11 09:48:59","未知用户 (sunliping1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=17796075"
"YFZXJSSL","视像科技研发中心技术沙龙","17797009","16845958","2018年","第15期 2018CCBN展会分享","2","6","视像科技研发中心技术沙龙 主页 / 2018年 / 第15期 2018CCBN展会分享","其他","2018-04-12 10:08:20","未知用户 (sunliping1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=17797009"
"YFZXJSSL","视像科技研发中心技术沙龙","18484564","16845958","2018年","第16期 OLED产品技术现状及发展趋势","2","7","视像科技研发中心技术沙龙 主页 / 2018年 / 第16期 OLED产品技术现状及发展趋势","其他","2018-04-19 16:08:48","未知用户 (sunliping1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=18484564"
"YFZXJSSL","视像科技研发中心技术沙龙","19104797","16845958","2018年","第17期 基于整机平台的智能天线系统","2","8","视像科技研发中心技术沙龙 主页 / 2018年 / 第17期 基于整机平台的智能天线系统","其他","2018-04-24 09:57:04","未知用户 (sunliping1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=19104797"
