"空间键","空间名称","页面ID","父页面ID","父页面标题","标题","层级深度","同级序号","目录路径","主题推断","最后修改时间","最后修改人","子页面是否截断","链接"
"SYSHARE","深研公共分享","24052361","","","深圳研发中心服务平台","0","1","深圳研发中心服务平台","其他","2024-04-24 09:39:19","刘飞","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=24052361"
"SYSHARE","深研公共分享","77140123","24052361","深圳研发中心服务平台","1.综合管理室分享","1","1","深圳研发中心服务平台 / 1.综合管理室分享","项目管理","2025-03-14 09:31:31","刘飞","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77140123"
"SYSHARE","深研公共分享","155692973","77140123","1.综合管理室分享","1、深研下午茶","2","1","深圳研发中心服务平台 / 1.综合管理室分享 / 1、深研下午茶","项目管理","2022-03-03 19:51:06","刘飞","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=155692973"
"SYSHARE","深研公共分享","77140127","77140123","1.综合管理室分享","2.深研供应商明细表","2","2","深圳研发中心服务平台 / 1.综合管理室分享 / 2.深研供应商明细表","项目管理","2026-04-02 09:46:05","刘飞","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77140127"
"SYSHARE","深研公共分享","91625637","77140123","1.综合管理室分享","3.信息安全专栏","2","3","深圳研发中心服务平台 / 1.综合管理室分享 / 3.信息安全专栏","项目管理","2020-06-18 10:28:08","刘飞","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=91625637"
"SYSHARE","深研公共分享","110005318","77140123","1.综合管理室分享","4.深研周年庆","2","4","深圳研发中心服务平台 / 1.综合管理室分享 / 4.深研周年庆","项目管理","2020-12-15 15:42:10","刘飞","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=110005318"
"SYSHARE","深研公共分享","77728108","77140123","1.综合管理室分享","深研五周年庆祝活动照片","2","5","深圳研发中心服务平台 / 1.综合管理室分享 / 深研五周年庆祝活动照片","项目管理","2020-01-14 18:06:38","未知用户 (zhulin16)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77728108"
"SYSHARE","深研公共分享","168926278","77140123","1.综合管理室分享","第二届乒乓球比赛照片","2","6","深圳研发中心服务平台 / 1.综合管理室分享 / 第二届乒乓球比赛照片","项目管理","2022-06-23 18:03:46","贾欢欢","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=168926278"
"SYSHARE","深研公共分享","164839270","77140123","1.综合管理室分享","顺丰快递明细","2","7","深圳研发中心服务平台 / 1.综合管理室分享 / 顺丰快递明细","项目管理","2022-05-20 10:43:22","刘飞","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=164839270"
"SYSHARE","深研公共分享","143426162","24052361","深圳研发中心服务平台","10.深研综管相关制度流程","1","2","深圳研发中心服务平台 / 10.深研综管相关制度流程","规范与流程","2022-09-05 16:16:05","未知用户 (liluman)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=143426162"
"SYSHARE","深研公共分享","231859089","143426162","10.深研综管相关制度流程","社招新员工成长跟踪（含实习生）","2","1","深圳研发中心服务平台 / 10.深研综管相关制度流程 / 社招新员工成长跟踪（含实习生）","规范与流程","2024-04-02 10:01:13","未知用户 (liluman)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=231859089"
"SYSHARE","深研公共分享","162400818","143426162","10.深研综管相关制度流程","（1）员工服务手册及指引","2","2","深圳研发中心服务平台 / 10.深研综管相关制度流程 / （1）员工服务手册及指引","规范与流程","2025-07-02 11:14:03","尹霞","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=162400818"
