"空间键","空间名称","页面ID","父页面ID","父页面标题","标题","层级深度","同级序号","目录路径","主题推断","最后修改时间","最后修改人","子页面是否截断","链接"
"DSWXXM","电视外销项目空间","22053496","","","电视外销项目空间 主页","0","1","电视外销项目空间 主页","项目管理","2024-08-14 15:28:13","冯美美","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=22053496"
"DSWXXM","电视外销项目空间","65832373","22053496","电视外销项目空间 主页","0、外销改善工作","1","1","电视外销项目空间 主页 / 0、外销改善工作","项目管理","2020-04-26 19:59:37","宋茂松/Mason Song","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=65832373"
"DSWXXM","电视外销项目空间","70783292","65832373","0、外销改善工作","ALM系统意见及建议收集","2","1","电视外销项目空间 主页 / 0、外销改善工作 / ALM系统意见及建议收集","项目管理","2019-11-23 15:38:35","张鹏","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=70783292"
"DSWXXM","电视外销项目空间","74515696","65832373","0、外销改善工作","IPD","2","2","电视外销项目空间 主页 / 0、外销改善工作 / IPD","项目管理","2019-12-09 17:54:49","余春雨/Ethan Yu","否","http://dmtks.hisense.com/display/DSWXXM/IPD"
"DSWXXM","电视外销项目空间","123244184","65832373","0、外销改善工作","Reopen问题改善","2","3","电视外销项目空间 主页 / 0、外销改善工作 / Reopen问题改善","问题与复盘","2021-04-26 14:06:56","宋茂松/Mason Song","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=123244184"
"DSWXXM","电视外销项目空间","181164676","65832373","0、外销改善工作","TVS流程改善/TVSプロセス改善","2","4","电视外销项目空间 主页 / 0、外销改善工作 / TVS流程改善/TVSプロセス改善","规范与流程","2022-10-22 12:48:04","王济洋","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=181164676"
"DSWXXM","电视外销项目空间","87164659","65832373","0、外销改善工作","VOC调研2020","2","5","电视外销项目空间 主页 / 0、外销改善工作 / VOC调研2020","项目管理","2020-05-07 15:33:15","程霖/Clin Cheng","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=87164659"
"DSWXXM","电视外销项目空间","207398774","65832373","0、外销改善工作","专题改善","2","6","电视外销项目空间 主页 / 0、外销改善工作 / 专题改善","项目管理","2023-04-06 09:42:13","陈文柱/Vanjoe Chen","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=207398774"
"DSWXXM","电视外销项目空间","73339858","65832373","0、外销改善工作","外销电视产品质量诊断2019","2","7","电视外销项目空间 主页 / 0、外销改善工作 / 外销电视产品质量诊断2019","项目管理","2019-12-02 20:44:01","桑爱菊","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=73339858"
"DSWXXM","电视外销项目空间","74521163","65832373","0、外销改善工作","外销软件模块建设","2","8","电视外销项目空间 主页 / 0、外销改善工作 / 外销软件模块建设","项目管理","2019-12-13 14:09:14","余春雨/Ethan Yu","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=74521163"
"DSWXXM","电视外销项目空间","65832379","65832373","0、外销改善工作","改善措施","2","9","电视外销项目空间 主页 / 0、外销改善工作 / 改善措施","问题与复盘","2019-09-26 10:34:22","未知用户 (mazheng)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=65832379"
"DSWXXM","电视外销项目空间","65832376","65832373","0、外销改善工作","海外质量问题汇总","2","10","电视外销项目空间 主页 / 0、外销改善工作 / 海外质量问题汇总","问题与复盘","2023-08-29 10:03:53","高同庆/Hoveran Gao","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=65832376"
"DSWXXM","电视外销项目空间","121185262","65832373","0、外销改善工作","编码规范-Java","2","11","电视外销项目空间 主页 / 0、外销改善工作 / 编码规范-Java","规范与流程","2021-05-01 11:51:06","宋虎","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=121185262"
"DSWXXM","电视外销项目空间","103423391","65832373","0、外销改善工作","软硬结合相关分析和解决问题能力提升","2","12","电视外销项目空间 主页 / 0、外销改善工作 / 软硬结合相关分析和解决问题能力提升","问题与复盘","2020-10-17 16:27:14","宋茂松/Mason Song","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=103423391"
"DSWXXM","电视外销项目空间","97193862","65832373","0、外销改善工作","需求管理改善课题","2","13","电视外销项目空间 主页 / 0、外销改善工作 / 需求管理改善课题","需求与功能","2020-08-12 15:13:06","宋茂松/Mason Song","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=97193862"
"DSWXXM","电视外销项目空间","65832521","65832373","0、外销改善工作","项目管控","2","14","电视外销项目空间 主页 / 0、外销改善工作 / 项目管控","项目管理","2019-09-10 10:06:03","高同庆/Hoveran Gao","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=65832521"
"DSWXXM","电视外销项目空间","108504876","65832373","0、外销改善工作","风险管控","2","15","电视外销项目空间 主页 / 0、外销改善工作 / 风险管控","项目管理","2020-12-15 14:19:41","高同庆/Hoveran Gao","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=108504876"
"DSWXXM","电视外销项目空间","5832741","22053496","电视外销项目空间 主页","1、项目信息","1","2","电视外销项目空间 主页 / 1、项目信息","项目管理","2020-01-22 18:14:31","宋茂松/Mason Song","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5832741"
