"空间键","空间名称","目录节点数","最大层级深度","一级目录数","一级目录概览","主题推断分布","存在截断节点数"
"YFZXJSSL","视像科技研发中心技术沙龙","362","2","9","2018年; 2019年; 2020年; 2021年; 2022年; 2023年; 2024年; 2025年; 2026年","其他(209); 设计与架构(47); 问题与复盘(30); 测试与验证(29); 培训与知识(15); 二维三维与图形模型(14); 规范与流程(8); 数据与质量(4); 项目管理(3); 需求与功能(2); 会议与协同(1)","8"
"RJYFBGG","软件研发部公共空间","296","2","36","部门重点工作; 部门行政管理; 0、软件研发知识管理; 1、预研管理; 2、技术融合; 3、技术管理; 4、创新提案; 5、信息收集; 6、开发输出文档模板; 7、能力提升; 8、部门活动; 9、NPS; 10、CBB 项目信息汇总; 11、三星分析-研发及创新空间; 12、科室例会; 14、软件过程指标; 15、软件相关流程体系清单; 16、方案商管理; 17、软件研发部工作周报; 18、流程绩效; 19、DailyRelease; 20、专利信息; 21、部门人员管理; 22、人才地图; 23、任职资格; 24、招聘; 25、信息统计; 26、持续集成CI; 27、科室看板信息; 手机产品线资料","其他(86); 项目管理(52); 设计与架构(50); 数据与质量(43); 问题与复盘(16); 会议与协同(13); 规范与流程(13); 版本与计划(10); 需求与功能(7); 培训与知识(4); 二维三维与图形模型(2)","1"
"DSWXXM","电视外销项目空间","251","2","31","0、外销改善工作; 1、项目信息; 2、外销电视一级模块; 3、海外VIDAA系统平台建设; 4、海外Android项目; 5、海信外网专线信息; 6、外销电视DB平台对外接口设计; 7、外销工作手册; 8、部门培训; 9、质量记录; 10. 防疫工作; 11、海外电视软件管理周例会; 12、Others; 13、研发知识管理; 14、 第六党支部; 15、研发流程/SQA工作记录; 16. VIDAA & REGZA Dual world design; 17、TVS Cost Down Project; 18. 外协项目软件管理工作规范; 19. 预研项目周报; 2022-05-02; TVS square; TESTSZM; 20. 先行项目; 21. 2023年NPS项目; ミーティング議事録; YouTube调查问卷2023; UML Diagrams; 22.Spotify 音乐应用; 5.TVS项目管理知识库","项目管理(131); 设计与架构(57); 规范与流程(17); 测试与验证(14); 问题与复盘(13); 会议与协同(6); 培训与知识(6); 版本与计划(5); 需求与功能(2)","1"
"RUANJIANYANFA","电视产品软件所","245","2","40","0、常用页面工具和URL; 1、产品线管理; 2、部门管理; 3、科室管理; 4、创新预研; 5、流程规范; 6、质量管理; 7、经验交流; 8、培训管理; 8、关键技术方向; 9、新员工入职; 10、竞品分析; 11、政府项目及对外合作; 内销电视业务室; 软件配置技术组; 软件SE、子SE、一级业务模块梳理; 部门知识库; 任职资格认证材料; 内销重点工作; 内销软件研发部 外包人员招聘汇总; 节假日统计; EMMC标准及体系梳理小组; 固定资产明细20210708-电脑和仪表; 部门经费明细2026/4/29; 出差报告和对外交流; 方案商管理; 无软件日报反馈; 曹操出行用车手机号信息确认（手机号是判断是否统结的唯一依据）; 设备类低耗盘点信息统计; 防疫相关统计","其他(82); 项目管理(48); 数据与质量(36); 规范与流程(22); 问题与复盘(19); 版本与计划(10); 设计与架构(9); 培训与知识(8); 会议与协同(5); 测试与验证(3); 需求与功能(3)","1"
"dshwrj","海外软件开发所","211","2","26","00.部门知识库; 1、会议记录; 2、工具使用文档; 3、流程管理类; 4、共享; 5、雷区总结; 6、专利与创新; 8、NPS与竞品分析; 9、所内培训; 10、认证知识库; 11、标准与规范; 12、质量案例; 13、预研项目; 14、模块管理; 15、人员招聘; 16、系统专家组; 17. 任职资格; 【浏览器和应用开发历史资料】; 【老方案平台历史资料】; 海外下市场; 海外业务及应用组; 海外业务开发室（Android）; 海外应用开发室; 海外电视业务室; 海外系统技术室; 海外软件支撑室","其他(67); 规范与流程(46); 培训与知识(22); 设计与架构(15); 项目管理(15); 问题与复盘(14); 测试与验证(12); 会议与协同(8); 数据与质量(6); 版本与计划(3); 需求与功能(2); 二维三维与图形模型(1)","0"
"dsxmxx","电视产品项目信息","185","2","40","0-供应商管理; 项目里程碑节点度量数据; Amlogic方案项目信息; Hisi方案项目信息; MSD6A848; MST6i981C; Mstar 848开发信息分享; Mstar方案项目信息; MTK方案项目信息; Novatek方案项目信息; OTA项目; PX510项目信息; PX530 Plus项目信息; PX560a; SIT测试指标制定意见收集; SQA工作过程; text; TV VIDAA 设计基础库; VIDAA 6 OTA项目; 产品数据统计; 会议纪要; 共用库统计; 内销TV软件分支信息库; 内销TV软件方案商FAE信息库; 内销产品CHIPID修改统计信息; 内销产品规划; 内销产品论证项目信息; 内销电视代码分支信息-2016年优化升级OTA; 北京歌华大卡无法解密问题; 广电有线一体机项目群","设计与架构(81); 项目管理(74); 测试与验证(10); 问题与复盘(6); 版本与计划(6); 需求与功能(3); 二维三维与图形模型(2); 会议与协同(2); 规范与流程(1)","1"
"VIDAA","VIDAA","163","2","17","Partner Engagement Management (PEM); VIDAA Projects; VIDAA Quality; VIDAA OEM; VIDAA Design; VIDAA TVOS R&D; VIDAA Cloud; VIDAA  Training; AI Efficiency Improvement; VIDAA Operation; VIDAA Technology; Certification Lab; VIDAA USA On Boarding; Archived-2025-0512; R&D Efficiency Improvement; VIDAA Performance Management; VIDAA Organization Construction","其他(82); 培训与知识(17); 项目管理(13); 测试与验证(13); 设计与架构(10); 问题与复盘(8); 需求与功能(6); 规范与流程(4); 会议与协同(4); 数据与质量(4); 版本与计划(2)","0"
"DZKJDSHWKF","产品线运营中心深圳研发部","154","2","22","深圳研发部运作支持 主页; 1、通用事项; 2、例会纪要; 3、电路开发室(杨东); 4、电视结构开发室; 5、显示开发室（刘良云）; 6、质量改善; 7、培训提升; 8、创新提案; 9、发明专利; 10、样机管理（项目+市场）; 11、5S管理; 12、团队建设(彭芬); 13、青岛、深圳、江门三地管理; 14、信息收集及相关报告（包括出差报告）; 15、深研项目预研; 16、休假登记（用于人工时统计）; 17、面板损坏记录; 18、周末加班登记说明; 10、平面设计（杨芳）; 5、各专业雷区; 深圳研发中心 电视交付测试室（吴国柱）","其他(70); 项目管理(20); 测试与验证(18); 设计与架构(14); 规范与流程(9); 培训与知识(9); 数据与质量(5); 会议与协同(4); 问题与复盘(3); 版本与计划(2)","0"
"QDPTJSS","系统软件开发所666","147","2","22","CBB管理; CI 20220324; SmartCoder - 智慧码农; T963D4_POCSerial_userdebug; 专利提案管理; 个人能力提升; 交流与合作; 任职资格认证材料; 创新提案管理; 培训相关; 学习地图; 已分享的链接; 技术规划/技术调研; 方案商接口界面-HUI; 服务器问题202305; 流程及标准; 知识汇总; 科室空间; 部门工作; 重点项目管理; 预研项目管理; 驱动技术积累","其他(49); 项目管理(37); 规范与流程(16); 设计与架构(14); 培训与知识(11); 问题与复盘(5); 版本与计划(5); 测试与验证(4); 需求与功能(2); 会议与协同(2); 数据与质量(1); 二维三维与图形模型(1)","0"
"NXPTRJ","系统软件开发所","113","2","14","0、常用工具; 1、科室空间; 2、创新预研; 3、流程及标准; 4、能力提升; 5、技术资料; 6、信息统计; 7、年度规划; 部门知识库; 平台所表扬项; 指导文章; 任职资格认证材料; 招聘; Graphviz Diagrams","其他(42); 数据与质量(33); 规范与流程(8); 设计与架构(6); 培训与知识(6); 版本与计划(5); 项目管理(5); 需求与功能(4); 问题与复盘(3); 测试与验证(1)","0"
"RBRJJSS","日本产品软件所","103","2","10","001 日常工作; 002 培训与分享; 003 项目信息; 004 个人空间; 005 团队管理; 006 AI专区; 999 其他; Develop Process; 故障排除文章; 文件列表","其他(51); 项目管理(20); 培训与知识(13); 规范与流程(5); 问题与复盘(4); 设计与架构(3); 测试与验证(2); 数据与质量(2); 版本与计划(1); 需求与功能(1); 会议与协同(1)","0"
"JQ","电视应用软件所","102","2","11","应用模块技术资料; 知识汇总; 部门工作; 项目资料; 培训相关; 个人空间; How-To Articles; 部门Confluence使用指南; 交流与合作; 预研创新项目; 常用机型apk提交工程及分支","其他(82); 项目管理(11); 培训与知识(3); 设计与架构(2); 规范与流程(1); 版本与计划(1); 测试与验证(1); 会议与协同(1)","1"
"CELAB","Certification Lab","96","2","8","0-General; 1-Global Certifications; 2-NA Certifications; 3-EU Certifications; 4-SA Certifications; 5-EM Certifications; 6-JP Certifications; 7-国内认证","测试与验证(96)","1"
"JUOS","海信JuOS操作系统知识库","93","2","13","01. JuOS平台项目信息; 02. 知识库; 03.需求规划; 04. 信息与资源; 05.流程规范; 06.竞品分析; 07.NPS; 08. AI Macey效率提升; 09. JuOS Architecture Team; 10.OSS; RVR; 指导文章; 故障排除文章","其他(28); 规范与流程(15); 需求与功能(13); 设计与架构(13); 项目管理(7); 版本与计划(7); 问题与复盘(5); 测试与验证(4); 培训与知识(1)","0"
"PXZL","培训资料","85","2","12","文件列表; 人力资源部; 工艺设计部; 显示研发部; 深圳研发; 用户体验设计部; 知识产权部培训资料; 研发测试部; 硬件研发部; 结构设计部; 质量管理部; 软件研发部","培训与知识(54); 设计与架构(15); 测试与验证(7); 规范与流程(5); 需求与功能(1); 会议与协同(1); 问题与复盘(1); 二维三维与图形模型(1)","0"
"HWDBYYS","VIDAA系统研发部","73","2","14","0 新员工部门入职指引; 1 Software Platform Institute; 3 Hamming Platform Project; 4 Institute knowledge base; 4.1 任职资格认证材料公示-2020年; 5. QA Record Home; 6.History; 7.Training Plan; 4.2 任职资格认证材料公示-2021年; 9900重复编译; 部门流程; 已分享的链接; 文件列表; 指导文章","其他(32); 规范与流程(14); 培训与知识(7); 测试与验证(5); 需求与功能(5); 项目管理(5); 设计与架构(3); 版本与计划(1); 会议与协同(1)","0"
"test1","test1","70","2","15","1111111; 111222; 111222333; 222111222; PRD3; PRD报告; PRD报告2; prd报告3; test11111; 任务; 共性问题宣贯材料; 头脑风暴 - 于涛; 流程培训; 测试1111; 测试新环境","测试与验证(62); 需求与功能(8)","1"
"XTXNSY","系统性能优化团队（深研）","64","2","9","个人空间; 公司制度; 团队建设; 开发小技巧; 技术能力提升; 文件列表; 新人入职; 项目信息; 系统性能工作交接","其他(31); 项目管理(12); 设计与架构(6); 规范与流程(6); 问题与复盘(3); 测试与验证(2); 版本与计划(1); 二维三维与图形模型(1); 需求与功能(1); 会议与协同(1)","0"
"SYSHARE","深研公共分享","57","2","12","1.综合管理室分享; 10.深研综管相关制度流程; 12.基层管理者培训; 13.任职资格公示专区; 14.流程文化建设; 15-深圳研发中心服务文档; 2.技术分享与创新活动; 3. 数字化转型与AI智能化专题; 5、深研样机数量统计; 7、深圳研发中心周报; 8、深研周例会会议纪要; 文件列表","其他(23); 规范与流程(14); 项目管理(8); 会议与协同(4); 培训与知识(3); 版本与计划(2); 二维三维与图形模型(1); 数据与质量(1); 测试与验证(1)","0"
"DMTYFCXLT","电子信息集团研发中心创新论坛","53","2","5","文件列表; 论坛数据; 创新成果; 微提案和创新提案; DITAA Diagrams","其他(51); 数据与质量(2)","0"
"TYXX","通用信息","51","2","5","文件列表; 通用工具; 能力提升项目配置文件; 电子信息研发防疫记录存档专区; 通用开发信息","其他(34); 项目管理(8); 设计与架构(4); 问题与复盘(3); 测试与验证(1); 规范与流程(1)","0"
"SYKS","深研知识分享体系","48","2","6","0.空间说明; 1. 业务技术; 10.培训管理; 2. 软件开发; 3. 软件测试; 4. 技术管理","其他(19); 测试与验证(10); 规范与流程(7); 项目管理(4); 培训与知识(4); 设计与架构(3); 版本与计划(1)","0"
"DZKJSZDSPT","海外数字电视与浏览器开发所","45","2","9","会议纪要 (2); 已分享的链接; 指导文章; 文件列表; 海外数字电视与浏览器开发所; VIDAA中国-深圳; 深圳研发通用; 项目信息记录：; 电视软件技术所","其他(28); 项目管理(9); 会议与协同(3); 规范与流程(2); 设计与架构(1); 测试与验证(1); 数据与质量(1)","0"
"PTRJKFS","平台软件开发所","44","2","10","1、模块空间; 2、NPI 导入; 3、创新预研; 4、技术规划与调研; 5、技术资料; 6、流程与标准; 7、典型问题; 8、能力提升; 9、信息统计; 10、例会信息","其他(30); 数据与质量(5); 会议与协同(4); 项目管理(1); 设计与架构(1); 问题与复盘(1); 版本与计划(1); 规范与流程(1)","0"
"YYZX","产品线运营中心学习资料共享","29","2","9","02-日常关键规范总结整理; 03-日常通知的规范要求汇总; 04-新品首单排查表; 产品线任职资格评定材料公示2020; 05-各专业应知应会清单及岗位操作手册; 06-日常培训课件和技术分享; 01-产品线运营中心质量知识资产库; 07-项目经验总结; 指导文章","规范与流程(13); 培训与知识(12); 问题与复盘(3); 设计与架构(1)","0"
"ZYJCKC","专业基础课程","28","2","7","文件列表; 1 通用类; 2 专业类; 立刻开始; NT68873; 产业技术资源分析; 测试","培训与知识(21); 测试与验证(2); 设计与架构(2); 规范与流程(2); 问题与复盘(1)","0"
"ZYTSKC","专业提升课程","27","2","12","1 技术管理部; 2 软件研发部; 3 硬件研发部; 4 结构设计部; 5 研发测试部; 6 显示研发部; 7 工艺设计部; 8 深圳研发中心; 9 武汉研发中心; 文件列表; 焊接培训; 立刻开始","培训与知识(19); 设计与架构(3); 问题与复盘(2); 测试与验证(2); 规范与流程(1)","0"
