"空间键","空间名称","页面ID","父页面ID","父页面标题","标题","层级深度","同级序号","目录路径","主题推断","最后修改时间","最后修改人","子页面是否截断","链接"
"YYZX","产品线运营中心学习资料共享","82583404","","","电视产品线运营中心学习共享","0","1","电视产品线运营中心学习共享","培训与知识","2023-10-19 14:49:53","杜红娟","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=82583404"
"YYZX","产品线运营中心学习资料共享","83992363","82583404","电视产品线运营中心学习共享","02-日常关键规范总结整理","1","1","电视产品线运营中心学习共享 / 02-日常关键规范总结整理","规范与流程","2025-09-22 17:03:34","杜红娟","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=83992363"
"YYZX","产品线运营中心学习资料共享","84646997","82583404","电视产品线运营中心学习共享","03-日常通知的规范要求汇总","1","2","电视产品线运营中心学习共享 / 03-日常通知的规范要求汇总","规范与流程","2024-05-28 10:30:08","杜红娟","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=84646997"
"YYZX","产品线运营中心学习资料共享","85368198","82583404","电视产品线运营中心学习共享","04-新品首单排查表","1","3","电视产品线运营中心学习共享 / 04-新品首单排查表","培训与知识","2020-04-23 16:30:39","未知用户 (xiabizhu)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=85368198"
"YYZX","产品线运营中心学习资料共享","86547401","85368198","04-新品首单排查表","第18周首单新品项目排查结果","2","1","电视产品线运营中心学习共享 / 04-新品首单排查表 / 第18周首单新品项目排查结果","培训与知识","2020-04-23 16:26:07","未知用户 (xiabizhu)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=86547401"
"YYZX","产品线运营中心学习资料共享","86547421","85368198","04-新品首单排查表","第19周首单新品项目排查结果","2","2","电视产品线运营中心学习共享 / 04-新品首单排查表 / 第19周首单新品项目排查结果","培训与知识","2020-04-23 16:27:12","未知用户 (xiabizhu)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=86547421"
"YYZX","产品线运营中心学习资料共享","107057651","82583404","电视产品线运营中心学习共享","产品线任职资格评定材料公示2020","1","4","电视产品线运营中心学习共享 / 产品线任职资格评定材料公示2020","培训与知识","2020-11-18 14:51:02","刘莎","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=107057651"
"YYZX","产品线运营中心学习资料共享","169713515","82583404","电视产品线运营中心学习共享","05-各专业应知应会清单及岗位操作手册","1","5","电视产品线运营中心学习共享 / 05-各专业应知应会清单及岗位操作手册","规范与流程","2022-08-16 10:05:11","赵英芹","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=169713515"
"YYZX","产品线运营中心学习资料共享","169713519","169713515","05-各专业应知应会清单及岗位操作手册","00-通用知识","2","1","电视产品线运营中心学习共享 / 05-各专业应知应会清单及岗位操作手册 / 00-通用知识","规范与流程","2022-06-29 11:37:19","赵英芹","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=169713519"
"YYZX","产品线运营中心学习资料共享","169713539","169713515","05-各专业应知应会清单及岗位操作手册","01-电路","2","2","电视产品线运营中心学习共享 / 05-各专业应知应会清单及岗位操作手册 / 01-电路","规范与流程","2022-06-29 11:40:59","赵英芹","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=169713539"
