"空间键","空间名称","页面ID","父页面ID","父页面标题","标题","层级深度","同级序号","目录路径","主题推断","最后修改时间","最后修改人","子页面是否截断","链接"
"HWDBYYS","VIDAA系统研发部","7340192","","","VIDAA系统研发部 Home","0","1","VIDAA系统研发部 Home","其他","2025-05-15 19:22:35","股份研发软件研发部配置管理组","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=7340192"
"HWDBYYS","VIDAA系统研发部","7340063","7340192","VIDAA系统研发部 Home","0 新员工部门入职指引","1","1","VIDAA系统研发部 Home / 0 新员工部门入职指引","其他","2020-11-02 10:26:21","刘义峰/Yif Liu","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=7340063"
"HWDBYYS","VIDAA系统研发部","53412473","7340063","0 新员工部门入职指引","1.新员工入职","2","1","VIDAA系统研发部 Home / 0 新员工部门入职指引 / 1.新员工入职","其他","2022-08-22 09:58:57","于立明/Sirius Yu","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=53412473"
"HWDBYYS","VIDAA系统研发部","7340065","7340063","0 新员工部门入职指引","2.搭建电脑系统","2","2","VIDAA系统研发部 Home / 0 新员工部门入职指引 / 2.搭建电脑系统","其他","2020-10-30 16:08:30","刘义峰/Yif Liu","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=7340065"
"HWDBYYS","VIDAA系统研发部","7340038","7340063","0 新员工部门入职指引","3.云桌面的使用","2","3","VIDAA系统研发部 Home / 0 新员工部门入职指引 / 3.云桌面的使用","其他","2020-10-30 16:08:42","刘义峰/Yif Liu","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=7340038"
"HWDBYYS","VIDAA系统研发部","7340034","7340063","0 新员工部门入职指引","4.Confluence的使用","2","4","VIDAA系统研发部 Home / 0 新员工部门入职指引 / 4.Confluence的使用","其他","2020-10-30 16:08:54","刘义峰/Yif Liu","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=7340034"
"HWDBYYS","VIDAA系统研发部","7340039","7340063","0 新员工部门入职指引","5.Gerrit的使用","2","5","VIDAA系统研发部 Home / 0 新员工部门入职指引 / 5.Gerrit的使用","其他","2020-10-30 16:09:04","刘义峰/Yif Liu","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=7340039"
"HWDBYYS","VIDAA系统研发部","7340035","7340063","0 新员工部门入职指引","6.JIRA的使用","2","6","VIDAA系统研发部 Home / 0 新员工部门入职指引 / 6.JIRA的使用","其他","2020-10-30 16:09:15","刘义峰/Yif Liu","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=7340035"
"HWDBYYS","VIDAA系统研发部","15762327","7340063","0 新员工部门入职指引","7.云账号申请","2","7","VIDAA系统研发部 Home / 0 新员工部门入职指引 / 7.云账号申请","其他","2020-10-30 16:09:45","刘义峰/Yif Liu","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=15762327"
"HWDBYYS","VIDAA系统研发部","64555479","7340063","0 新员工部门入职指引","8.上网云桌面的使用","2","8","VIDAA系统研发部 Home / 0 新员工部门入职指引 / 8.上网云桌面的使用","其他","2020-10-30 16:12:07","刘义峰/Yif Liu","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=64555479"
