"空间键","空间名称","页面ID","父页面ID","父页面标题","标题","层级深度","同级序号","目录路径","主题推断","最后修改时间","最后修改人","子页面是否截断","链接"
"ZYJCKC","专业基础课程","54103905","","","专业基础课程","0","1","专业基础课程","培训与知识","2019-05-09 09:36:29","冯美美","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=54103905"
"ZYJCKC","专业基础课程","73897943","54103905","专业基础课程","文件列表","1","1","专业基础课程 / 文件列表","培训与知识","2019-12-05 16:32:33","杜强","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=73897943"
"ZYJCKC","专业基础课程","56232833","54103905","专业基础课程","1 通用类","1","2","专业基础课程 / 1 通用类","培训与知识","2019-05-29 16:50:11","王艳","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=56232833"
"ZYJCKC","专业基础课程","56232835","56232833","1 通用类","1 企业文化类","2","1","专业基础课程 / 1 通用类 / 1 企业文化类","培训与知识","2019-05-29 16:47:07","王艳","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=56232835"
"ZYJCKC","专业基础课程","56232837","56232833","1 通用类","2 公文写作类（邮件、PPT）","2","2","专业基础课程 / 1 通用类 / 2 公文写作类（邮件、PPT）","培训与知识","2019-11-21 16:16:30","冯美美","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=56232837"
"ZYJCKC","专业基础课程","56232839","56232833","1 通用类","3 办公工具类","2","3","专业基础课程 / 1 通用类 / 3 办公工具类","培训与知识","2019-05-29 16:47:32","王艳","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=56232839"
"ZYJCKC","专业基础课程","56232842","56232833","1 通用类","4 行为规范类","2","4","专业基础课程 / 1 通用类 / 4 行为规范类","规范与流程","2019-05-29 16:47:45","王艳","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=56232842"
"ZYJCKC","专业基础课程","56232850","56232833","1 通用类","5 人力资源类","2","5","专业基础课程 / 1 通用类 / 5 人力资源类","培训与知识","2019-05-29 16:48:19","王艳","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=56232850"
"ZYJCKC","专业基础课程","56232852","56232833","1 通用类","6 质量管理类","2","6","专业基础课程 / 1 通用类 / 6 质量管理类","培训与知识","2019-05-29 16:48:55","王艳","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=56232852"
"ZYJCKC","专业基础课程","56232854","56232833","1 通用类","7 安全教育类","2","7","专业基础课程 / 1 通用类 / 7 安全教育类","培训与知识","2019-05-29 16:49:19","王艳","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=56232854"
"ZYJCKC","专业基础课程","77730654","56232833","1 通用类","“周四课堂”系列课程","2","8","专业基础课程 / 1 通用类 / “周四课堂”系列课程","培训与知识","2020-01-16 17:08:08","未知用户 (zhangxinyi2)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77730654"
"ZYJCKC","专业基础课程","56232856","54103905","专业基础课程","2 专业类","1","3","专业基础课程 / 2 专业类","培训与知识","2019-05-29 16:49:59","王艳","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=56232856"
"ZYJCKC","专业基础课程","56232861","56232856","2 专业类","1 技术管理部","2","1","专业基础课程 / 2 专业类 / 1 技术管理部","培训与知识","2019-05-29 16:51:02","王艳","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=56232861"
"ZYJCKC","专业基础课程","56232863","56232856","2 专业类","2 软件研发部","2","2","专业基础课程 / 2 专业类 / 2 软件研发部","培训与知识","2019-05-29 16:51:35","王艳","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=56232863"
