"空间键","空间名称","页面ID","父页面ID","父页面标题","标题","层级深度","同级序号","目录路径","主题推断","最后修改时间","最后修改人","子页面是否截断","链接"
"QDPTJSS","系统软件开发所666","13723344","","","系统软件开发所666 Home","0","1","系统软件开发所666 Home","其他","2025-11-18 13:38:16","冯美美","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=13723344"
"QDPTJSS","系统软件开发所666","92934610","13723344","系统软件开发所666 Home","CBB管理","1","1","系统软件开发所666 Home / CBB管理","项目管理","2020-06-29 17:30:10","未知用户 (chengzhi)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=92934610"
"QDPTJSS","系统软件开发所666","92934622","92934610","CBB管理","CBB管理 - WIFI、BT","2","1","系统软件开发所666 Home / CBB管理 / CBB管理 - WIFI、BT","项目管理","2021-01-06 17:38:32","未知用户 (juweiming)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=92934622"
"QDPTJSS","系统软件开发所666","157986154","13723344","系统软件开发所666 Home","CI 20220324","1","2","系统软件开发所666 Home / CI 20220324","其他","2022-03-24 16:57:10","李燕芬","否","http://dmtks.hisense.com/display/QDPTJSS/CI+20220324"
"QDPTJSS","系统软件开发所666","225853578","13723344","系统软件开发所666 Home","SmartCoder - 智慧码农","1","3","系统软件开发所666 Home / SmartCoder - 智慧码农","其他","2024-03-01 17:51:54","曹圆圆","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=225853578"
"QDPTJSS","系统软件开发所666","228354520","225853578","SmartCoder - 智慧码农","0. 自动化压测专题","2","1","系统软件开发所666 Home / SmartCoder - 智慧码农 / 0. 自动化压测专题","其他","2024-01-16 20:44:01","曹圆圆","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=228354520"
"QDPTJSS","系统软件开发所666","228354526","225853578","SmartCoder - 智慧码农","1. 开发提效专题","2","2","系统软件开发所666 Home / SmartCoder - 智慧码农 / 1. 开发提效专题","其他","2024-01-16 20:44:33","曹圆圆","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=228354526"
"QDPTJSS","系统软件开发所666","228354522","225853578","SmartCoder - 智慧码农","2. 办公效率专题","2","3","系统软件开发所666 Home / SmartCoder - 智慧码农 / 2. 办公效率专题","其他","2024-03-11 10:39:36","丁达志","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=228354522"
"QDPTJSS","系统软件开发所666","223292094","13723344","系统软件开发所666 Home","T963D4_POCSerial_userdebug","1","4","系统软件开发所666 Home / T963D4_POCSerial_userdebug","二维三维与图形模型","2023-10-24 16:50:05","未知用户 (lizhiguo1)","否","http://dmtks.hisense.com/display/QDPTJSS/T963D4_POCSerial_userdebug"
"QDPTJSS","系统软件开发所666","48169277","13723344","系统软件开发所666 Home","专利提案管理","1","5","系统软件开发所666 Home / 专利提案管理","项目管理","2019-03-04 10:31:00","初德进","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=48169277"
