"空间键","空间名称","页面ID","父页面ID","父页面标题","标题","层级深度","同级序号","目录路径","主题推断","最后修改时间","最后修改人","子页面是否截断","链接"
"PXZL","培训资料","15587085","","","培训资料","0","1","培训资料","培训与知识","2018-12-07 11:27:44","未知用户 (guolinhai)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=15587085"
"PXZL","培训资料","15588591","15587085","培训资料","文件列表","1","1","培训资料 / 文件列表","培训与知识","2017-08-24 15:12:50","未知用户 (dujuan7)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=15588591"
"PXZL","培训资料","50140357","15588591","文件列表","WiFi网络模块介绍","2","1","培训资料 / 文件列表 / WiFi网络模块介绍","培训与知识","2019-03-29 15:40:45","未知用户 (zhangxu22)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=50140357"
"PXZL","培训资料","76448709","15588591","文件列表","4K内置TCON自动测工装培训资料","2","2","培训资料 / 文件列表 / 4K内置TCON自动测工装培训资料","培训与知识","2019-12-30 15:58:53","未知用户 (lixutong)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=76448709"
"PXZL","培训资料","16847751","15588591","文件列表","2018年第一季度培训资料","2","3","培训资料 / 文件列表 / 2018年第一季度培训资料","培训与知识","2018-01-05 16:37:55","庄广海","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=16847751"
"PXZL","培训资料","20188071","15588591","文件列表","2018显示技术及产业链论坛","2","4","培训资料 / 文件列表 / 2018显示技术及产业链论坛","培训与知识","2018-05-10 14:01:20","未知用户 (yuechunbo)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=20188071"
"PXZL","培训资料","26677690","15588591","文件列表","fdv","2","5","培训资料 / 文件列表 / fdv","培训与知识","2018-07-19 17:04:41","闫伟玲","否","http://dmtks.hisense.com/display/PXZL/fdv"
"PXZL","培训资料","73897937","15588591","文件列表","Local Dimming 基本原理及驱动应用","2","6","培训资料 / 文件列表 / Local Dimming 基本原理及驱动应用","培训与知识","2019-12-05 16:28:54","杜强","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=73897937"
"PXZL","培训资料","92276587","15588591","文件列表","Nova 98525 guide","2","7","培训资料 / 文件列表 / Nova 98525 guide","规范与流程","2020-06-22 18:30:56","未知用户 (caoguibao)","否","http://dmtks.hisense.com/display/PXZL/Nova+98525+guide"
"PXZL","培训资料","30508567","15588591","文件列表","TCP-IP基础","2","8","培训资料 / 文件列表 / TCP-IP基础","培训与知识","2018-08-28 16:31:29","董亮亮","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=30508567"
"PXZL","培训资料","85367059","15588591","文件列表","各产品线新品首单点检资料汇总","2","9","培训资料 / 文件列表 / 各产品线新品首单点检资料汇总","培训与知识","2020-04-10 10:50:48","未知用户 (xiabizhu)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=85367059"
"PXZL","培训资料","85950583","15588591","文件列表","平面文档室 2020培训资料","2","10","培训资料 / 文件列表 / 平面文档室 2020培训资料","规范与流程","2020-05-21 15:37:35","未知用户 (lixiaofan1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=85950583"
"PXZL","培训资料","27330876","15588591","文件列表","微结构加工工艺","2","11","培训资料 / 文件列表 / 微结构加工工艺","培训与知识","2018-07-26 10:34:16","未知用户 (yuechunbo)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=27330876"
"PXZL","培训资料","40701328","15588591","文件列表","显示驱动基本原理","2","12","培训资料 / 文件列表 / 显示驱动基本原理","培训与知识","2018-12-19 18:01:46","傅大田","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=40701328"
"PXZL","培训资料","89003300","15588591","文件列表","疫情下的流行趋势","2","13","培训资料 / 文件列表 / 疫情下的流行趋势","培训与知识","2020-05-21 15:35:30","未知用户 (yanmingyan)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=89003300"
"PXZL","培训资料","23431059","15588591","文件列表","结构组（工艺部）","2","14","培训资料 / 文件列表 / 结构组（工艺部）","培训与知识","2018-06-13 08:54:58","王鹏程","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=23431059"
"PXZL","培训资料","38830569","15588591","文件列表","结构BOM设计及使用说明","2","15","培训资料 / 文件列表 / 结构BOM设计及使用说明","设计与架构","2018-11-26 13:41:33","历彦波","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=38830569"
"PXZL","培训资料","21432013","15588591","文件列表","结构设计","2","16","培训资料 / 文件列表 / 结构设计","设计与架构","2018-05-23 15:00:17","未知用户 (wangna8)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=21432013"
"PXZL","培训资料","57445223","15588591","文件列表","请删除","2","17","培训资料 / 文件列表 / 请删除","培训与知识","2019-06-12 17:31:44","未知用户 (zhaoyuanchao)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=57445223"
"PXZL","培训资料","126919687","15588591","文件列表","面板自带保护膜贴护屏胶带","2","18","培训资料 / 文件列表 / 面板自带保护膜贴护屏胶带","培训与知识","2021-06-04 09:26:06","未知用户 (wangcan1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=126919687"
"PXZL","培训资料","128361988","15588591","文件列表","白平衡Gamma调整基础培训-上（白平衡Gamma原理）","2","19","培训资料 / 文件列表 / 白平衡Gamma调整基础培训-上（白平衡Gamma原理）","培训与知识","2021-06-18 19:41:37","栾复磊","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=128361988"
"PXZL","培训资料","129800783","15588591","文件列表","显示结构技术室","2","20","培训资料 / 文件列表 / 显示结构技术室","培训与知识","2021-07-01 09:41:19","单平平","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=129800783"
"PXZL","培训资料","145070023","15588591","文件列表","Gamma新老算法软件使用及常见问题分析方法","2","21","培训资料 / 文件列表 / Gamma新老算法软件使用及常见问题分析方法","问题与复盘","2021-11-24 14:20:26","栾复磊","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=145070023"
"PXZL","培训资料","154216370","15588591","文件列表","基于仿真结果的神经元数学模型风险预测","2","22","培训资料 / 文件列表 / 基于仿真结果的神经元数学模型风险预测","二维三维与图形模型","2022-02-17 16:13:47","刘明召","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=154216370"
"PXZL","培训资料","155688110","15588591","文件列表","AutoGamma在线调整流程及内容","2","23","培训资料 / 文件列表 / AutoGamma在线调整流程及内容","规范与流程","2022-03-02 11:22:51","栾复磊","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=155688110"
