"空间键","空间名称","页面ID","父页面ID","父页面标题","标题","层级深度","同级序号","目录路径","主题推断","最后修改时间","最后修改人","子页面是否截断","链接"
"NXPTRJ","系统软件开发所","80449950","","","系统软件开发所 主页","0","1","系统软件开发所 主页","其他","2022-12-09 17:13:54","孙永瑞","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=80449950"
"NXPTRJ","系统软件开发所","104106096","80449950","系统软件开发所 主页","0、常用工具","1","1","系统软件开发所 主页 / 0、常用工具","其他","2024-04-26 13:03:45","吴汉勇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=104106096"
"NXPTRJ","系统软件开发所","163256556","104106096","0、常用工具","研发中心文件一点通及最新设计文档模板","2","1","系统软件开发所 主页 / 0、常用工具 / 研发中心文件一点通及最新设计文档模板","设计与架构","2024-01-31 16:50:43","贾亚洲","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=163256556"
"NXPTRJ","系统软件开发所","80450901","80449950","系统软件开发所 主页","1、科室空间","1","2","系统软件开发所 主页 / 1、科室空间","其他","2020-10-20 11:37:12","吴汉勇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=80450901"
"NXPTRJ","系统软件开发所","139074281","80450901","1、科室空间","内销智能图像算法室","2","1","系统软件开发所 主页 / 1、科室空间 / 内销智能图像算法室","其他","2021-10-31 16:02:33","付廷杰","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=139074281"
"NXPTRJ","系统软件开发所","80451162","80450901","1、科室空间","多媒体协议开发室","2","2","系统软件开发所 主页 / 1、科室空间 / 多媒体协议开发室","其他","2024-01-22 10:23:23","李斌","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=80451162"
"NXPTRJ","系统软件开发所","4489406","80450901","1、科室空间","平台软件开发室","2","3","系统软件开发所 主页 / 1、科室空间 / 平台软件开发室","其他","2023-11-15 11:11:39","孙永瑞","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=4489406"
"NXPTRJ","系统软件开发所","281049655","80450901","1、科室空间","系统架构开发室","2","4","系统软件开发所 主页 / 1、科室空间 / 系统架构开发室","设计与架构","2024-12-13 17:29:45","贾亚洲","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=281049655"
"NXPTRJ","系统软件开发所","104106103","80449950","系统软件开发所 主页","2、创新预研","1","3","系统软件开发所 主页 / 2、创新预研","其他","2020-10-20 11:39:59","吴汉勇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=104106103"
"NXPTRJ","系统软件开发所","112823429","104106103","2、创新预研","2021技术规划调研活动","2","1","系统软件开发所 主页 / 2、创新预研 / 2021技术规划调研活动","其他","2021-01-18 18:10:56","李斌","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=112823429"
