"空间键","空间名称","页面ID","父页面ID","父页面标题","标题","层级深度","同级序号","目录路径","主题推断","最后修改时间","最后修改人","子页面是否截断","链接"
"SYKS","深研知识分享体系","216896133","","","深研知识分享体系 主页","0","1","深研知识分享体系 主页","其他","2024-06-19 14:47:52","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216896133"
"SYKS","深研知识分享体系","216896557","216896133","深研知识分享体系 主页","0.空间说明","1","1","深研知识分享体系 主页 / 0.空间说明","其他","2023-06-27 14:17:06","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216896557"
"SYKS","深研知识分享体系","216918944","216896557","0.空间说明","本空间目录系统的设计原则","2","1","深研知识分享体系 主页 / 0.空间说明 / 本空间目录系统的设计原则","设计与架构","2023-07-04 17:44:06","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216918944"
"SYKS","深研知识分享体系","216918942","216896557","0.空间说明","本空间文档页面命名和布局规则","2","2","深研知识分享体系 主页 / 0.空间说明 / 本空间文档页面命名和布局规则","规范与流程","2023-07-11 17:48:14","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216918942"
"SYKS","深研知识分享体系","216920746","216896557","0.空间说明","文档页面模板","2","3","深研知识分享体系 主页 / 0.空间说明 / 文档页面模板","规范与流程","2023-07-04 14:56:40","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216920746"
"SYKS","深研知识分享体系","216896569","216896133","深研知识分享体系 主页","1. 业务技术","1","2","深研知识分享体系 主页 / 1. 业务技术","其他","2023-06-27 14:22:01","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216896569"
"SYKS","深研知识分享体系","222317616","216896569","1. 业务技术","0. 电视开发规范","2","1","深研知识分享体系 主页 / 1. 业务技术 / 0. 电视开发规范","规范与流程","2023-11-27 20:37:10","金程贵","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=222317616"
"SYKS","深研知识分享体系","216896582","216896569","1. 业务技术","1. 电视广播（DTV）","2","2","深研知识分享体系 主页 / 1. 业务技术 / 1. 电视广播（DTV）","其他","2023-06-27 14:26:29","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216896582"
"SYKS","深研知识分享体系","216896613","216896569","1. 业务技术","2. Web技术","2","3","深研知识分享体系 主页 / 1. 业务技术 / 2. Web技术","其他","2023-06-27 14:22:33","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216896613"
"SYKS","深研知识分享体系","216896619","216896569","1. 业务技术","3. TVS相关技术","2","4","深研知识分享体系 主页 / 1. 业务技术 / 3. TVS相关技术","其他","2023-06-27 14:22:54","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216896619"
"SYKS","深研知识分享体系","217322636","216896569","1. 业务技术","4. 系统性能","2","5","深研知识分享体系 主页 / 1. 业务技术 / 4. 系统性能","其他","2023-07-06 19:10:11","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=217322636"
"SYKS","深研知识分享体系","217322638","216896569","1. 业务技术","5. 语音算法","2","6","深研知识分享体系 主页 / 1. 业务技术 / 5. 语音算法","其他","2023-07-06 19:10:34","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=217322638"
"SYKS","深研知识分享体系","219561798","216896569","1. 业务技术","6.其他业务技术","2","7","深研知识分享体系 主页 / 1. 业务技术 / 6.其他业务技术","其他","2023-08-15 19:39:59","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=219561798"
"SYKS","深研知识分享体系","216903479","216896133","深研知识分享体系 主页","10.培训管理","1","3","深研知识分享体系 主页 / 10.培训管理","培训与知识","2024-03-06 16:24:47","未知用户 (liluman)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216903479"
"SYKS","深研知识分享体系","217336884","216903479","10.培训管理","培训文档模板和案例","2","1","深研知识分享体系 主页 / 10.培训管理 / 培训文档模板和案例","规范与流程","2023-07-14 12:29:01","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=217336884"
"SYKS","深研知识分享体系","216922663","216903479","10.培训管理","技术管理类培训","2","2","深研知识分享体系 主页 / 10.培训管理 / 技术管理类培训","培训与知识","2023-10-08 14:29:15","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216922663"
"SYKS","深研知识分享体系","216922665","216903479","10.培训管理","测试技术类培训","2","3","深研知识分享体系 主页 / 10.培训管理 / 测试技术类培训","测试与验证","2023-07-04 22:32:59","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216922665"
"SYKS","深研知识分享体系","216922660","216903479","10.培训管理","软件开发-通用技术培训（操作系统、编程语言、软件设计等）","2","4","深研知识分享体系 主页 / 10.培训管理 / 软件开发-通用技术培训（操作系统、编程语言、软件设计等）","设计与架构","2024-06-05 20:44:18","吴金旺","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216922660"
"SYKS","深研知识分享体系","226954779","216903479","10.培训管理","历史培训文档存档","2","5","深研知识分享体系 主页 / 10.培训管理 / 历史培训文档存档","规范与流程","2023-12-13 14:43:01","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=226954779"
"SYKS","深研知识分享体系","231029791","216903479","10.培训管理","其他类别培训（日语、）","2","6","深研知识分享体系 主页 / 10.培训管理 / 其他类别培训（日语、）","培训与知识","2024-12-25 21:34:47","未知用户 (zhangjiao6)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=231029791"
"SYKS","深研知识分享体系","231029805","216903479","10.培训管理","业务技术培训","2","7","深研知识分享体系 主页 / 10.培训管理 / 业务技术培训","培训与知识","2024-03-06 16:43:41","未知用户 (liluman)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=231029805"
"SYKS","深研知识分享体系","232229939","216903479","10.培训管理","2024培训计划","2","8","深研知识分享体系 主页 / 10.培训管理 / 2024培训计划","版本与计划","2024-09-12 09:59:59","未知用户 (wuyaohua)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=232229939"
"SYKS","深研知识分享体系","216896571","216896133","深研知识分享体系 主页","2. 软件开发","1","4","深研知识分享体系 主页 / 2. 软件开发","其他","2023-06-27 14:36:01","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216896571"
"SYKS","深研知识分享体系","216896779","216896571","2. 软件开发","1. 操作系统","2","1","深研知识分享体系 主页 / 2. 软件开发 / 1. 操作系统","其他","2023-06-27 14:37:27","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216896779"
"SYKS","深研知识分享体系","216896809","216896571","2. 软件开发","10. 其他","2","2","深研知识分享体系 主页 / 2. 软件开发 / 10. 其他","其他","2023-06-29 15:14:43","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216896809"
"SYKS","深研知识分享体系","216896784","216896571","2. 软件开发","2. 软件设计","2","3","深研知识分享体系 主页 / 2. 软件开发 / 2. 软件设计","设计与架构","2023-06-29 14:00:35","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216896784"
"SYKS","深研知识分享体系","216896791","216896571","2. 软件开发","3. C&C++","2","4","深研知识分享体系 主页 / 2. 软件开发 / 3. C&C++","其他","2023-06-27 14:38:09","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216896791"
"SYKS","深研知识分享体系","216896795","216896571","2. 软件开发","4. Java","2","5","深研知识分享体系 主页 / 2. 软件开发 / 4. Java","其他","2023-06-27 14:38:22","朱登宇","否","http://dmtks.hisense.com/display/SYKS/4.+Java"
"SYKS","深研知识分享体系","216896800","216896571","2. 软件开发","5. JavaScript","2","6","深研知识分享体系 主页 / 2. 软件开发 / 5. JavaScript","其他","2023-06-27 14:38:37","朱登宇","否","http://dmtks.hisense.com/display/SYKS/5.+JavaScript"
"SYKS","深研知识分享体系","216896802","216896571","2. 软件开发","6. 开源软件","2","7","深研知识分享体系 主页 / 2. 软件开发 / 6. 开源软件","其他","2023-06-27 14:39:03","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216896802"
"SYKS","深研知识分享体系","216905298","216896571","2. 软件开发","7. 软件调试","2","8","深研知识分享体系 主页 / 2. 软件开发 / 7. 软件调试","其他","2023-06-29 15:15:05","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216905298"
"SYKS","深研知识分享体系","216896806","216896571","2. 软件开发","8. 提效工具","2","9","深研知识分享体系 主页 / 2. 软件开发 / 8. 提效工具","其他","2023-12-20 09:50:55","陈秀强","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216896806"
"SYKS","深研知识分享体系","216905334","216896571","2. 软件开发","9. 系统构建（编译与链接）","2","10","深研知识分享体系 主页 / 2. 软件开发 / 9. 系统构建（编译与链接）","其他","2023-06-29 15:14:35","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216905334"
"SYKS","深研知识分享体系","216905430","216896133","深研知识分享体系 主页","3. 软件测试","1","5","深研知识分享体系 主页 / 3. 软件测试","测试与验证","2023-06-29 15:31:47","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216905430"
"SYKS","深研知识分享体系","217338077","216905430","3. 软件测试","电视软件测试基础知识","2","1","深研知识分享体系 主页 / 3. 软件测试 / 电视软件测试基础知识","测试与验证","2023-07-11 20:11:56","吴国柱","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=217338077"
"SYKS","深研知识分享体系","217338084","216905430","3. 软件测试","电视软件测试进阶知识","2","2","深研知识分享体系 主页 / 3. 软件测试 / 电视软件测试进阶知识","测试与验证","2023-07-11 20:25:52","吴国柱","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=217338084"
"SYKS","深研知识分享体系","217338088","216905430","3. 软件测试","TVS_JP 测试","2","3","深研知识分享体系 主页 / 3. 软件测试 / TVS_JP 测试","测试与验证","2023-07-11 20:44:06","吴国柱","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=217338088"
"SYKS","深研知识分享体系","217338092","216905430","3. 软件测试","测试仪器&辅助工具","2","4","深研知识分享体系 主页 / 3. 软件测试 / 测试仪器&辅助工具","测试与验证","2023-07-11 20:45:34","吴国柱","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=217338092"
"SYKS","深研知识分享体系","217338094","216905430","3. 软件测试","自动化测试","2","5","深研知识分享体系 主页 / 3. 软件测试 / 自动化测试","测试与验证","2023-07-11 20:53:10","吴国柱","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=217338094"
"SYKS","深研知识分享体系","217338098","216905430","3. 软件测试","认证测试","2","6","深研知识分享体系 主页 / 3. 软件测试 / 认证测试","测试与验证","2023-07-11 20:53:20","吴国柱","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=217338098"
"SYKS","深研知识分享体系","217338101","216905430","3. 软件测试","电视软件开发及测试参考信息","2","7","深研知识分享体系 主页 / 3. 软件测试 / 电视软件开发及测试参考信息","测试与验证","2023-07-11 20:58:12","吴国柱","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=217338101"
"SYKS","深研知识分享体系","218150453","216905430","3. 软件测试","开发测试","2","8","深研知识分享体系 主页 / 3. 软件测试 / 开发测试","测试与验证","2023-07-26 15:03:18","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=218150453"
"SYKS","深研知识分享体系","216896576","216896133","深研知识分享体系 主页","4. 技术管理","1","6","深研知识分享体系 主页 / 4. 技术管理","项目管理","2023-06-29 15:30:01","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216896576"
"SYKS","深研知识分享体系","216896812","216896576","4. 技术管理","1. 标准与规范","2","1","深研知识分享体系 主页 / 4. 技术管理 / 1. 标准与规范","规范与流程","2023-06-27 14:39:54","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216896812"
"SYKS","深研知识分享体系","216896815","216896576","4. 技术管理","2. 技术调研","2","2","深研知识分享体系 主页 / 4. 技术管理 / 2. 技术调研","项目管理","2023-06-27 14:41:48","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216896815"
"SYKS","深研知识分享体系","216896817","216896576","4. 技术管理","3. 开发流程","2","3","深研知识分享体系 主页 / 4. 技术管理 / 3. 开发流程","规范与流程","2023-06-27 14:40:13","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216896817"
"SYKS","深研知识分享体系","223799025","216896576","4. 技术管理","4. 政府项目归档","2","4","深研知识分享体系 主页 / 4. 技术管理 / 4. 政府项目归档","项目管理","2023-11-07 19:56:16","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=223799025"
"SYKS","深研知识分享体系","227846510","216896576","4. 技术管理","预研项目管理","2","5","深研知识分享体系 主页 / 4. 技术管理 / 预研项目管理","项目管理","2024-01-03 20:14:40","朱登宇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=227846510"
